*band 1 es
36 13 13 12
36 12 12 12
36 12 12 12
36 13 13 12
40 13 13 12
40 12 12 12
40 12 12 12
40 13 13 12
44 13 13 12
44 12 12 12
44 12 12 12
44 13 13 12
48 13 13 12
48 12 12 12
48 12 12 12
48 13 13 12
*band 2 es
52 13 13 12
52 12 12 11
52 12 12 11
52 13 13 12
56 13 13 12
56 12 12 11
56 12 12 11
56 13 13 12
60 13 13 12
60 12 12 11
60 12 12 11
60 13 13 12
64 13 13 12
64 12 12 11
64 12 12 11
64 13 13 12
*band 3 es
100 16 18 18
100 16 18 17
100 16 18 17
100 16 18 18
104 16 18 18
104 16 18 17
104 16 18 17
104 16 18 18
108 16 18 18
108 16 18 17
108 16 18 17
108 16 18 18
112 16 18 18
112 16 18 17
112 16 18 17
112 16 18 18
116 16 18 18
116 16 18 17
116 16 18 17
116 16 18 18
120 16 18 18
120 16 18 18
120 16 18 18
120 16 18 18
124 16 18 18
124 16 18 18
124 16 18 18
124 16 18 18
128 16 18 18
128 16 18 18
128 16 18 18
128 16 18 18
132 16 18 18
132 16 18 18
132 16 18 18
132 16 18 18
136 16 18 18
136 16 18 18
136 16 18 18
136 16 18 18
140 16 18 18
140 16 18 18
140 16 18 18
140 16 18 18
*band 4 es
149 -1 -1 -1
153 -1 -1 -1
157 -1 -1 -1
161 -1 -1 -1
165 -1 -1 -1
